Question,Correct Answer,Incorrect Options,Chapter
What can be inferred about an image point and its surrounding region based on the Harris corner response?,"A large positive response indicates a corner, a negative response signifies an edge, and a response close to zero denotes a flat region.","['A large positive response signifies high contrast, a negative response indicates low contrast, and a response close to zero denotes uniform brightness.', 'A large positive response signifies an edge, a negative response indicates a corner, and a response close to zero denotes a textured region.', 'A large positive response denotes a flat region, a negative response signifies a corner, and a response close to zero indicates an edge.', 'A large positive response indicates a corner, a negative response signifies a flat region, and a response close to zero denotes an edge.']",Chapter 5
How is scale-space constructed and what is the role of its parameters?,"By convolving the image with Gaussian kernels of varying standard deviations, where the standard deviation determines the scale of the detected features.","['By decomposing the image into multiple frequency bands using wavelet transforms, where each band corresponds to a different scale of image features.', 'By segmenting the image into regions based on texture similarity, where the similarity threshold defines the granularity of the scale-space levels.', 'By applying a series of sharpening filters with varying strengths, where the strength parameter determines the emphasis on fine details versus coarse structures.', 'By progressively reducing the image resolution through downsampling, where the downsampling factor determines the scale of the observable features.']",Chapter 5
"When extracting a small image patch around an interest point, converting it into a vector, and using it directly as a local descriptor, what are the advantages and limitations of this approach in feature matching?","The approach retains complete spatial and color information, ensuring high distinctiveness, but it is highly sensitive to geometric transformations such as scaling and rotation.","['The approach inherently normalizes for illumination changes, providing robustness against varying lighting conditions, but it sacrifices spatial detail, reducing the descriptor’s distinctiveness.', 'The approach achieves invariance to affine transformations, but the matching process can introduce computational overhead and potential alignment errors.', 'The approach enables straightforward feature matching using simple distance metrics, but it fails to account for the spatial arrangement of pixel intensities.', 'The approach maintains rotation and shift invariance, but it requires a hierarchical matching process that complicates the feature matching pipeline.']",Chapter 5
How are scale-invariant interest points detected?,By identifying extrema in the Difference of Gaussian (DoG) pyramid across scales and rejecting points based on low response thresholds and edge-like structures.,"['By clustering feature points obtained from each scale and selecting cluster centroids that appear across all scales with minimal variance.', 'By applying a single-scale Harris corner detector and verifying its responses against scale-space representations to ensure invariance.', 'By utilizing the Laplacian of Gaussian (LoG) operator to detect zero-crossings across scales and selecting points that persist across a predefined scale range.', 'By performing non-maximum suppression on the gradient magnitude across scales and selecting points that maintain consistent orientation across multiple scales.']",Chapter 5
What is assumed about the classification problem when using the nearest centroid classifier?,"Classes form compact, sphere-shaped clusters.","['Feature space is low dimensional.', 'Feature space is high dimensional.', 'There are only two classes.', 'Class centers are evenly distributed in the feature space.']",Chapter 6
Why is visual bag of words good for image categorization but not good for object detection?,It is a global representation.,"['It focuses on texture information.', 'It is a local representation.', 'It is not invariant to spatial transformations.', 'It focuses on shape information.']",Chapter 6
What is an obvious bottleneck of the nearest neighbor classifier?,It is computationally expensive.,"['It can only handle binary problems.', 'It requires high-dimensional feature space.', 'It assumes compact clusters.', 'It requires a large amount of training data.']",Chapter 6
What assumption is made when using k-means for color image segmentation?,Colors are distinct and separable in RGB-space.,"['Neighboring pixels share the same label.', 'The color values are uniformly distributed.', 'Colors form overlapping clusters in RGB-space.', 'Each color in the image has a unique label.']",Chapter 6
What is the benefit of unsupervised learning compared to supervised learning?,It does not require labeling of training data.,"['It recognizes specific classes of interest.', 'It requires less data.', 'Unsupervised learning algorithms are faster.', 'The results are more accurate.']",Chapter 6
What is the purpose of negative samples in object detection?,To train the classifier to differentiate objects.,"['To represent the object of interest.', 'To evaluate the performance of the detector.', 'To normalize the feature values between 0 and 1.', 'To detect negative objects.']",Chapter 6
What is the essential difference between object detection and image categorization?,"Object detection locates and identifies objects, while image categorization assigns a single label to the entire image.","['Image categorization processes regions, while object detection processes entire images.', 'Object detection finds a single instance, while image categorization finds multiple instances.', 'Image categorization works with precise object locations, while object detection ignores spatial information.', 'Object detection uses global features, while image categorization relies on local descriptors.']",Chapter 6
"A face detector finds 100 correct faces, 15 incorrect faces, and misses 25 correct faces. What are the corresponding precision and recall values?","Precision: 87%, Recall: 80%","['Precision: 74%, Recall: 65%', 'Precision: 85%, Recall: 75%', 'Precision: 91%, Recall: 85%', 'Precision: 82%, Recall: 70%']",Chapter 6
What is the difference between apparent motion and actual motion?,"Apparent motion is perceived movement in the image, while actual motion is true physical movement.","['Apparent motion refers to movement caused by optical illusions, whereas actual motion is movement physically occurring in space.', ""Apparent motion is influenced by the observer's frame of reference, while actual motion is absolute and unchanging."", 'Apparent motion occurs under constant lighting conditions, whereas actual motion can be observed under varying lighting conditions.', 'Apparent motion can only be perceived in two dimensions, whereas actual motion occurs in three dimensions.']",Chapter 7
What is the difference between a motion vector and a motion field?,"Motion vector represents a single point, while a motion field represents multiple points.","['Motion vector indicates speed, while motion field indicates velocity.', 'Motion field represents the magnitude, while motion vector represents the direction.', 'Motion vector is a vector quantity, while motion field is a scalar quantity.', 'Both terms are interchangeable in motion analysis.']",Chapter 7
Why do we need the small motion assumption when using the optical flow equation?,Small motion allows the first-order Taylor expansion to remain valid.,"['Small motion reduces the computational complexity of the optical flow algorithms.', 'Optical flow equation is inherently biased against large motions.', 'Small motion is necessary to avoid aliasing effects in the optical flow computation.', 'Small motion ensures that the time derivative of the image intensity remains constant.']",Chapter 7
What is an advantage and disadvantage of the Lucas-Kanade method compared to feature matching?,Advantage: Computationally more efficient. Disadvantage: More likely to struggle with large motions.,"['Advantage: More effective for real-time applications. Disadvantage: More likely to fail with textured surfaces.', 'Advantage: Can handle larger motions. Disadvantage: Computationally more expensive.', 'Advantage: More robust to noise. Disadvantage: More sensitive to lighting changes.', 'Advantage: More accurate in dense areas. Disadvantage: Worse performance in sparse areas.']",Chapter 7
